,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
0,Золотые серьги,Артикул: 271510,5490₽,18300₽,"Артикул: 271510;Серьги    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 1.0г;Серьги    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/earring_271510.html,200100.16-1ш/з*&РОССИЯ&Розовое золото&1.0 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
1,Серебряный браслет,Артикул: 51012,1490₽,4967₽,"Артикул: 51012;Браслет ручной работы.  
Серебро 925 пробы.

«Гарибальди» — объемное якорное плетение с парными круглыми звеньями. Считается, что его назвали в честь супругов Гарибальди, героев освободительного движения Италии, которые всегда были вместе и разделяли взгляды друг друга. «Гарибальди» создает впечатление очень прочного и основательного плетения, поэтому подойдет для ношения нательного крестика или кулона-талисмана.
Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.;Вес изделия: 5.91г;Браслет ручной работы.  
Серебро 925 пробы.;«Гарибальди» — объемное якорное плетение с парными круглыми звеньями. Считается, что его назвали в честь супругов Гарибальди, героев освободительного движения Италии, которые всегда были вместе и разделяли взгляды друг друга. «Гарибальди» создает впечатление очень прочного и основательного плетения, поэтому подойдет для ношения нательного крестика или кулона-талисмана.
Бренд LINEA является торговой маркой российских золотых и серебряных цепей и цепных браслетов высшего качества.
Украшения под этой торговой маркой производятся на лучших цепевязальных ювелирных заводах России.
Специалисты бренда уделяют приоритетное значение качеству. Каждое изделие проходит тройной контроль ОТК.
Фактический завод производитель указан на бирке каждого изделия.",,,,,https://sunlight.net/catalog/bracelets_51012.html,"Б-020&РОССИЯ&Серебро&5,2 мм&5.91 г",LINEA
2,Серебряные серьги,Артикул: 14605,1590₽,5300₽,"Артикул: 14605;Серьги    
Серебро 925 пробы.;Вес изделия: 3.46г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/silver/earring117112.html,S0102-C9W-01&Серебро&3.46 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
3,Золотой крест-подвеска,Артикул: 156366,16990₽,56633₽,"Артикул: 156366;Подвеска    
 585 пробы.;Вес изделия: 2.23г;Подвеска    
 585 пробы.",,,,,https://sunlight.net/catalog/pendants_156366.html,"10031700*&РОССИЯ&Белое золото, Розовое золото&2.23 г",Сорокин&Христианство
4,Золотое кольцо,Артикул: 69878,4990₽,,"Артикул: 69878;Кольцо    
Розовое золото 375 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 0.83г;Кольцо    
Розовое золото 375 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/ring_69878.html,К7100239*&РОССИЯ&Розовое золото&0.83 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
5,Золотая подвеска,Артикул: 43221,1890₽,6300₽,"Артикул: 43221;Подвеска    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 0.26г;Подвеска    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/pendants260262.html,3000011105*&РОССИЯ&Розовое золото&0.26 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
6,Золотые серьги,Артикул: 235978,14490₽,48300₽,"Артикул: 235978;Серьги    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 2.72г;Серьги    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/earring_235978.html,10-00-0000-27628*&РОССИЯ&Розовое золото&2.72 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
7,Серебряное кольцо,Артикул: 81064,2990₽,9967₽,"Артикул: 81064;Кольцо    
Серебро 925 пробы.;Вес изделия: 3.29г;Кольцо    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_81064.html,S10207-K9M-01&ИТАЛИЯ&Серебро&3.29 г,Cassero&Серебро Италии
8,Серебряный крест-подвеска,Артикул: 53496,1674₽,5580₽,"Артикул: 53496;Подвеска    
Серебро 925 пробы.;Вес изделия: 7.64г;Подвеска    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/pendants_53496.html,К-10103&РОССИЯ&Серебро&7.64 г,SERGEY GRIBNYAKOV&Христианство
9,Золотые серьги,Артикул: 41540,9490₽,31633₽,"Артикул: 41540;Серьги    
Розовое золото 585 пробы.

Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.;Вес изделия: 1.93г;Серьги    
Розовое золото 585 пробы.;Украшения без вставок.  Из-за отсутствия каких-либо вставок, такие ювелирные изделия обладают совершенством формы и безупречным цветовым сочетанием. Эти модели как нельзя лучше способны подчеркнуть женственность их обладательницы, акцентируя внимание на ее привлекательности, в то же время не отвлекая взгляд на блеск драгоценных камней. И не важно выберете вы золотые ювелирные серьги-пуссеты, конго или цепочки, вы в любом случае будете на высоте.",,,,,https://sunlight.net/catalog/earring_41540.html,18-01-0000-23590*&РОССИЯ&Розовое золото&1.93 г,SERGEY GRIBNYAKOV&Золотые украшения без вставок
